key,value
materials.conduit_2_in_per_ft,6.17
materials.conduit_3_in_per_ft,10.74
materials.conduit_4_in_per_ft,11.04
materials.hdpe_2_in_per_ft,5.33
materials.hdpe_3_in_per_ft,6.05
materials.hdpe_4_in_per_ft,7.98
materials.sweeps_each,76.13
materials.couplings_each,2.43
materials.primer_and_cement_lump,12
materials.wire_al_2_per_ft,4.99
materials.wire_al_1_0_per_ft,3.11
materials.wire_al_4_0_per_ft,4.44
materials.wire_al_350_per_ft,6.35
materials.wire_al_500_per_ft,9.23
materials.pull_string_per_ft,0.05
materials.misc_hardware_lump,25
materials.lb_fitting_each,28
trenching.sawcut_and_restore_per_ft,22
materials.bore_per_ft,22
materials.bore_mobilization_lump,350
labor.rate_per_hour,1
labor.trenching_ft_per_hour,6.54
labor.backfill_ft_per_hour,1
labor.conduit_install_ft_per_hour,40
labor.wire_pull_ft_per_hour,1
labor.terminate_hours,3
accessories.pedestal_and_connections_lump,650
accessories.pedestal_connections_only_lump,250
accessories.pole_35_5_lump,918.12
accessories.pole_40_4_lump,3912.27
accessories.riser_3_lump,893.22
accessories.riser_4_lump,1291.2
accessories.xfmr_connections_lump,450
accessories.primary_riser_lump,1842.79
accessories.primary_existing_xfmr_conn_lump,450
accessories.ug_xfmr_25kva_lump,5253.99
accessories.ug_xfmr_50kva_lump,7266.02
accessories.ug_xfmr_75kva_lump,10448.54
accessories.ug_xfmr_100kva_lump,15335.6
accessories.ug_xfmr_167kva_lump,12619.16
accessories.oh_xfmr_25kva_lump,3084.02
accessories.oh_xfmr_37_5kva_lump,3085.09
accessories.oh_xfmr_50kva_lump,4100.44
accessories.oh_xfmr_75kva_lump,5461.12
accessories.oh_xfmr_100kva_lump,3053.19
accessories.oh_xfmr_167kva_lump,3317.9
